model,domain,lang,error_rate,n,ci_lo,ci_hi
internvl8b,animal,ar,0.583,300,0.527,0.638
internvl8b,animal,bn,0.683,300,0.629,0.733
internvl8b,animal,el,0.657,300,0.601,0.708
internvl8b,animal,en,0.587,300,0.530,0.641
internvl8b,animal,hi,0.580,300,0.523,0.634
internvl8b,animal,ru,0.617,300,0.561,0.670
internvl8b,animal,zh,0.553,300,0.497,0.609
internvl8b,demography,ar,0.577,300,0.520,0.631
internvl8b,demography,bn,0.630,300,0.574,0.683
internvl8b,demography,el,0.673,300,0.618,0.724
internvl8b,demography,en,0.550,300,0.493,0.605
internvl8b,demography,hi,0.617,300,0.561,0.670
internvl8b,demography,ru,0.587,300,0.530,0.641
internvl8b,demography,zh,0.540,300,0.483,0.596
internvl8b,object,ar,0.507,300,0.450,0.563
internvl8b,object,bn,0.647,300,0.591,0.699
internvl8b,object,el,0.597,300,0.540,0.651
internvl8b,object,en,0.503,300,0.447,0.560
internvl8b,object,hi,0.607,300,0.550,0.660
internvl8b,object,ru,0.513,300,0.457,0.569
internvl8b,object,zh,0.473,300,0.418,0.530
qwen7b,animal,ar,0.564,291,0.506,0.619
qwen7b,animal,bn,0.574,291,0.516,0.629
qwen7b,animal,el,0.574,291,0.516,0.629
qwen7b,animal,en,0.505,291,0.448,0.562
qwen7b,animal,hi,0.570,291,0.513,0.626
qwen7b,animal,ru,0.522,289,0.465,0.579
qwen7b,animal,zh,0.567,291,0.510,0.623
qwen7b,demography,ar,0.600,300,0.544,0.654
qwen7b,demography,bn,0.647,300,0.591,0.699
qwen7b,demography,el,0.630,300,0.574,0.683
qwen7b,demography,en,0.537,300,0.480,0.592
qwen7b,demography,hi,0.547,300,0.490,0.602
qwen7b,demography,ru,0.550,300,0.493,0.605
qwen7b,demography,zh,0.567,300,0.510,0.622
qwen7b,object,ar,0.445,299,0.390,0.501
qwen7b,object,bn,0.530,300,0.473,0.586
qwen7b,object,el,0.533,300,0.477,0.589
qwen7b,object,en,0.473,300,0.418,0.530
qwen7b,object,hi,0.530,300,0.473,0.586
qwen7b,object,ru,0.540,298,0.484,0.596
qwen7b,object,zh,0.493,300,0.437,0.550
