socio_attr,lang,error_rate,n,ci_lo,ci_hi
wealth,en,0.774,31,0.602,0.886
wealth,zh,0.774,31,0.602,0.886
wealth,ar,0.839,31,0.674,0.929
wealth,hi,0.710,31,0.534,0.839
power,en,0.703,64,0.582,0.801
power,zh,0.672,64,0.550,0.774
power,ar,0.594,64,0.471,0.705
power,hi,0.719,64,0.599,0.814
civility,en,0.547,64,0.426,0.663
civility,zh,0.484,64,0.366,0.604
civility,ar,0.547,64,0.426,0.663
civility,hi,0.578,64,0.456,0.691
morality,en,0.473,93,0.375,0.574
morality,zh,0.559,93,0.458,0.656
morality,ar,0.505,93,0.406,0.605
morality,hi,0.409,93,0.314,0.510
intellect,en,0.417,48,0.288,0.557
intellect,zh,0.479,48,0.345,0.617
intellect,ar,0.542,48,0.403,0.674
intellect,hi,0.479,48,0.345,0.617
