model,group_type,group,n_items,CFR,SBR,SCR
internvl8b,overall,all,900,0.691,0.237,0.072
internvl8b,domain,animal,300,0.667,0.29,0.043
internvl8b,domain,demography,300,0.61,0.287,0.103
internvl8b,domain,object,300,0.797,0.133,0.07
internvl8b,socio_attr,civility,64,0.594,0.297,0.109
internvl8b,socio_attr,intellect,48,0.667,0.188,0.146
internvl8b,socio_attr,morality,93,0.667,0.226,0.108
internvl8b,socio_attr,power,64,0.547,0.359,0.094
internvl8b,socio_attr,wealth,31,0.516,0.452,0.032
qwen7b,overall,all,891,0.653,0.213,0.134
qwen7b,domain,animal,291,0.649,0.206,0.144
qwen7b,domain,demography,300,0.63,0.25,0.12
qwen7b,domain,object,300,0.68,0.183,0.137
qwen7b,socio_attr,civility,64,0.656,0.219,0.125
qwen7b,socio_attr,intellect,48,0.708,0.167,0.125
qwen7b,socio_attr,morality,93,0.667,0.183,0.151
qwen7b,socio_attr,power,64,0.609,0.281,0.109
qwen7b,socio_attr,wealth,31,0.387,0.581,0.032
