item,id,domain,subcategory,socio_attr,gender,knob,metric,score_correct,score_adv,margin,prefers_correct
327,ani00298,animal,bird,,,scale_size,clip,0.251162,0.288667,-0.037505,0
327,ani00298,animal,bird,,,scale_size,pick,21.341259,23.048075,-1.706816,0
57,ani00221,animal,bird,,,color_tone,clip,0.27702,0.27166,0.00536,1
57,ani00221,animal,bird,,,color_tone,pick,22.158493,24.362196,-2.203703,0
12,ani01509,animal,animal,,,count,clip,0.208794,0.268937,-0.060143,0
12,ani01509,animal,animal,,,count,pick,21.803211,23.715433,-1.912222,0
379,ani00348,animal,bird,,,layout_relation,clip,0.2581,0.279239,-0.021138,0
379,ani00348,animal,bird,,,layout_relation,pick,23.209108,23.678358,-0.46925,0
140,ani01130,animal,mammal,,,color_tone,clip,0.189616,0.240546,-0.05093,0
140,ani01130,animal,mammal,,,color_tone,pick,21.076864,20.981201,0.095663,1
125,ani01017,animal,mammal,,,count,clip,0.217634,0.230652,-0.013018,0
125,ani01017,animal,mammal,,,count,pick,22.84429,23.322849,-0.478559,0
114,ani01983,animal,animal,,,scale_size,clip,0.242019,0.293123,-0.051104,0
114,ani01983,animal,animal,,,scale_size,pick,18.608271,20.885548,-2.277277,0
71,ani00357,animal,bird,,,layout_relation,clip,0.24521,0.272302,-0.027092,0
71,ani00357,animal,bird,,,layout_relation,pick,22.103012,23.470915,-1.367903,0
377,ani00348,animal,bird,,,layout_relation,clip,0.231787,0.28221,-0.050423,0
377,ani00348,animal,bird,,,layout_relation,pick,22.053244,22.968287,-0.915043,0
52,ani00221,animal,bird,,,color_tone,clip,0.232418,0.281669,-0.049251,0
52,ani00221,animal,bird,,,color_tone,pick,21.519819,23.772038,-2.252218,0
346,ani00837,animal,mammal,,,color_tone,clip,0.27265,0.258726,0.013925,1
346,ani00837,animal,mammal,,,color_tone,pick,23.55851,22.720322,0.838188,1
496,ani00122,animal,bird,,,color_tone,clip,0.186535,0.243325,-0.05679,0
496,ani00122,animal,bird,,,color_tone,pick,20.538847,21.844709,-1.305862,0
456,ani00252,animal,bird,,,layout_relation,clip,0.234502,0.267407,-0.032905,0
