item,id,domain,subcategory,socio_attr,gender,knob,lang,metric,score_correct,score_adv,margin,prefers_correct
327,ani00298,animal,bird,,,scale_size,en,mclip,0.085956,0.129753,-0.043797,0
327,ani00298,animal,bird,,,scale_size,zh,mclip,0.051823,0.061318,-0.009496,0
327,ani00298,animal,bird,,,scale_size,ru,mclip,0.062633,0.122594,-0.059961,0
327,ani00298,animal,bird,,,scale_size,ar,mclip,0.09651,0.158016,-0.061506,0
327,ani00298,animal,bird,,,scale_size,hi,mclip,0.100375,0.141279,-0.040904,0
327,ani00298,animal,bird,,,scale_size,bn,mclip,0.090272,0.131346,-0.041074,0
327,ani00298,animal,bird,,,scale_size,el,mclip,0.077837,0.139018,-0.061181,0
57,ani00221,animal,bird,,,color_tone,en,mclip,0.11453,0.150467,-0.035937,0
57,ani00221,animal,bird,,,color_tone,zh,mclip,0.044989,0.063805,-0.018816,0
57,ani00221,animal,bird,,,color_tone,ru,mclip,0.099196,0.122456,-0.02326,0
57,ani00221,animal,bird,,,color_tone,ar,mclip,0.111664,0.13726,-0.025596,0
57,ani00221,animal,bird,,,color_tone,hi,mclip,0.102867,0.121837,-0.01897,0
57,ani00221,animal,bird,,,color_tone,bn,mclip,0.091482,0.116754,-0.025272,0
57,ani00221,animal,bird,,,color_tone,el,mclip,0.070899,0.107393,-0.036494,0
12,ani01509,animal,animal,,,count,en,mclip,0.100798,0.123108,-0.022311,0
12,ani01509,animal,animal,,,count,zh,mclip,0.071107,0.077506,-0.006399,0
12,ani01509,animal,animal,,,count,ru,mclip,0.082585,0.116879,-0.034294,0
12,ani01509,animal,animal,,,count,ar,mclip,0.08222,0.11794,-0.03572,0
12,ani01509,animal,animal,,,count,hi,mclip,0.100679,0.103336,-0.002656,0
12,ani01509,animal,animal,,,count,bn,mclip,0.108675,0.090805,0.01787,1
12,ani01509,animal,animal,,,count,el,mclip,0.092384,0.112664,-0.02028,0
379,ani00348,animal,bird,,,layout_relation,en,mclip,0.107712,0.1316,-0.023888,0
379,ani00348,animal,bird,,,layout_relation,zh,mclip,0.065515,0.066088,-0.000573,0
379,ani00348,animal,bird,,,layout_relation,ru,mclip,0.08886,0.117153,-0.028293,0
379,ani00348,animal,bird,,,layout_relation,ar,mclip,0.114856,0.138684,-0.023828,0
379,ani00348,animal,bird,,,layout_relation,hi,mclip,0.10371,0.10055,0.00316,1
379,ani00348,animal,bird,,,layout_relation,bn,mclip,0.086113,0.089906,-0.003793,0
379,ani00348,animal,bird,,,layout_relation,el,mclip,0.093734,0.098197,-0.004462,0
140,ani01130,animal,mammal,,,color_tone,en,mclip,0.101591,0.095167,0.006424,1
140,ani01130,animal,mammal,,,color_tone,zh,mclip,0.012364,-0.020179,0.032543,1
140,ani01130,animal,mammal,,,color_tone,ru,mclip,0.11694,0.093649,0.023291,1
140,ani01130,animal,mammal,,,color_tone,ar,mclip,0.113945,0.086481,0.027464,1
140,ani01130,animal,mammal,,,color_tone,hi,mclip,0.091797,0.067468,0.024329,1
140,ani01130,animal,mammal,,,color_tone,bn,mclip,0.106619,0.068229,0.03839,1
140,ani01130,animal,mammal,,,color_tone,el,mclip,0.094585,0.079095,0.01549,1
125,ani01017,animal,mammal,,,count,en,mclip,0.088411,0.124024,-0.035613,0
125,ani01017,animal,mammal,,,count,zh,mclip,0.069709,0.116979,-0.04727,0
125,ani01017,animal,mammal,,,count,ru,mclip,0.090158,0.117192,-0.027034,0
125,ani01017,animal,mammal,,,count,ar,mclip,0.095158,0.122159,-0.027001,0
125,ani01017,animal,mammal,,,count,hi,mclip,0.086403,0.083942,0.002462,1
125,ani01017,animal,mammal,,,count,bn,mclip,0.085391,0.111418,-0.026027,0
125,ani01017,animal,mammal,,,count,el,mclip,0.09244,0.13088,-0.03844,0
114,ani01983,animal,animal,,,scale_size,en,mclip,0.036288,0.124201,-0.087913,0
114,ani01983,animal,animal,,,scale_size,zh,mclip,-0.008221,0.040129,-0.04835,0
114,ani01983,animal,animal,,,scale_size,ru,mclip,0.029041,0.117149,-0.088108,0
114,ani01983,animal,animal,,,scale_size,ar,mclip,0.042532,0.095983,-0.053452,0
114,ani01983,animal,animal,,,scale_size,hi,mclip,0.033737,0.047926,-0.014189,0
114,ani01983,animal,animal,,,scale_size,bn,mclip,0.071058,0.067111,0.003947,1
114,ani01983,animal,animal,,,scale_size,el,mclip,0.058673,0.069963,-0.01129,0
71,ani00357,animal,bird,,,layout_relation,en,mclip,0.095886,0.118758,-0.022872,0
71,ani00357,animal,bird,,,layout_relation,zh,mclip,0.063749,0.073074,-0.009325,0
71,ani00357,animal,bird,,,layout_relation,ru,mclip,0.091142,0.107144,-0.016002,0
71,ani00357,animal,bird,,,layout_relation,ar,mclip,0.109925,0.129907,-0.019981,0
71,ani00357,animal,bird,,,layout_relation,hi,mclip,0.120953,0.119847,0.001106,1
71,ani00357,animal,bird,,,layout_relation,bn,mclip,0.107424,0.116107,-0.008683,0
